Title,Company Name,Date,Location,Salary,Keywords Found
Data Analyst (Ohayu at Genesis),Genesis,13 серпня 2024,"Київ, Варшава (Польща), віддалено",,"R, SQL, Tableau"
Data Analyst (RnD),Brainstack,3 вересня 2024,"Київ, віддалено",,"Python, R, SQL, Tableau, Excel, PostgreSQL, AWS"
Product Analyst,WiX,5 серпня 2024,Київ,,"R, SQL"
HR Analyst (with PowerBI),JustAnswer,27 серпня 2024,Львів,,"R, SQL, Excel"
Data Analyst,"ТОВ ""Укр Кредит Финанс""",29 липня 2024,"Київ, віддалено",від $2000,"R, SQL, Excel"
Data Analyst,Livingston Research,7 серпня 2024,віддалено,,"Python, R, SQL, Excel, Google Sheets"
Senior Product Analyst,JustAnswer,27 серпня 2024,"Львів, Ужгород, віддалено",,"Python, R, SQL, Excel"
Senior Product Analyst for Setapp,MacPaw,28 липня 2024,"Київ, за кордоном, віддалено",,"Python, R, SQL, Tableau, Power BI"
Middle Data Analyst,Нова Пошта,7 серпня 2024,Київ,,"Python, R, SQL, Tableau, Excel"
Middle Business Analyst (CRM),Нова Пошта,14 серпня 2024,Київ,,R
Business Analyst,Ajax Systems,11 вересня 2024,Київ,,R
DATA Head of analytics and reporting,UKRSIBTECH,11 вересня 2024,Київ,,"R, SQL"
Business Analyst,PIN-UP Global,11 вересня 2024,віддалено,,"R, Excel"
Product Data Analyst,Ardas,11 вересня 2024,"Дніпро, віддалено",,"R, SQL, Tableau, Power BI, Excel"
Workforce Planning Manager,Cosmobet,11 вересня 2024,віддалено,,"R, Excel"
Бізнес аналітик,Ericsson,11 вересня 2024,віддалено,,
Senior Financial Analyst,All Right,11 вересня 2024,віддалено,,"R, SQL, Excel"
Бізнес аналітик,"Банк ""КЛІРИНГОВИЙ ДІМ""",11 вересня 2024,Київ,$1500–2000,R
Business Analyst (Middle),MK-Consulting,11 вересня 2024,Київ,,R
Senior Business Analyst (with BSS or Telecom) (#1718),N-iX,11 вересня 2024,"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено",,"R, SQL, Excel"
Junior Market Research Analyst (#2067),N-iX,11 вересня 2024,"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено",,"R, Excel"
Senior SQL Engineer/Data Analyst (#2055),N-iX,11 вересня 2024,"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено",,"R, SQL, Excel"
Finance Analyst (#2057),N-iX,11 вересня 2024,"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено",,"R, Excel, Google Sheets"
Business analyst,Nova Digital,11 вересня 2024,"Київ, віддалено",,R
Аналітик комп’ютерних систем,Nova Digital,11 вересня 2024,"Київ, віддалено",,"R, SQL, Tableau, PostgreSQL"
Marketing Data Analyst,Uklon,10 вересня 2024,Київ,,"Python, R, SQL, Tableau"
Бізнес/cистемний аналітик в Дію,Дія,10 вересня 2024 бронювання,Київ,,R
Business Analyst,ПриватБанк,10 вересня 2024,віддалено,,"R, SQL"
Lead Business Analyst (Blockchain),Boosty Labs,10 вересня 2024,"Київ, віддалено",,R
Middle Business Analyst (ID 208),HELSI,10 вересня 2024,Київ,,"R, SQL, NoSQL"
Lead Business Analyst,Avenga,10 вересня 2024,"Київ, Харків, Львів, Вінниця, Івано-Франківськ, Луцьк, Полтава, Хмельницький, Черкаси, за кордоном, віддалено",,R
Data Business Analyst,FAVBET Tech,10 вересня 2024,"Київ, віддалено",,"Python, R, SQL, Tableau, Power BI"
Data Analyst,GR8 Tech,10 вересня 2024,"Moldova, віддалено",,"Python, R, SQL, Scala, Tableau, AWS"
Senior Business Analyst (WMS),Nova Digital,10 вересня 2024,"Київ, віддалено",,R
Strong Junior / Middle Business Analyst (Проект ДСНС),"""ІНФОТЕХ""",10 вересня 2024 govtech,Київ,,R
Junior+ Web Analyst,Inweb,10 вересня 2024,"Одеса, віддалено",,"Python, R, SQL, Java, Power BI, Google Sheets"
Marketing Data Analyst,PixelTeh,10 вересня 2024,віддалено,$1000–1500,"R, SQL, Tableau, Power BI"
Business Analyst / Proxy PO,Introduct Group,10 вересня 2024,"Київ, Таллінн (Естонія), віддалено",,"R, SQL, Tableau, Power BI, Excel"
Application Analyst,Materialise,10 вересня 2024,Київ,,"R, Excel, Azure"
Аналітик SAP,NOVUS,10 вересня 2024 бронювання,Київ,$1000–2000,R
Product Analyst (Universe Group),Genesis,9 вересня 2024,"Київ, гібрид",,"Python, R, SQL, Tableau, AWS"
Junior System Analyst (ID 000177),OTP Bank Ukraine,9 вересня 2024 бронювання,"Київ, віддалено",,"R, SQL"
Data analyst,"ТОВ ""Сінево Україна""",9 вересня 2024 бронювання,Київ,,"R, SQL"
Business analyst 1С/ BAS,Resorcer,9 вересня 2024,"Київ, віддалено",,R
Головний аналітик даних Управління продажів карткових продуктів,ПриватБанк,9 вересня 2024,"Київ, Дніпро",,"R, SQL, Tableau"
Marketing Analyst (Manifest),BOOSTERS (partner of Genesis),9 вересня 2024,"Київ, віддалено",,"R, Tableau, Power BI, Excel, Google Sheets"
Investment Analyst,RISK Inc,9 вересня 2024,віддалено,,R
Business Data Analyst Poker / Game Integrity Specialist,PIN-UP Global,9 вересня 2024,"Київ, Єреван (Вірменія), Варшава (Польща), Лімасол (Кіпр), віддалено",,R
Financial Data Analyst,airSlate,9 вересня 2024,Київ,,"R, Excel"
Workforce Analyst,Everstar,9 вересня 2024 miltech бронювання,Київ,,"R, Tableau, Power BI, Excel"
Operations Analyst,Solidgate,9 вересня 2024 Перша робота,Київ,,"Python, R, SQL, Tableau"
Data analyst,Fintech Farm,9 вересня 2024,"Дніпро, Лондон (Велика Британія), віддалено",,"R, SQL"
Business Analyst senior,Nova Digital,9 вересня 2024,Київ,,R
Data analyst,Сільпо,9 вересня 2024,Київ,,"R, SQL, Power BI, Spark"
Data Analyst Team Lead,Сільпо,9 вересня 2024,Київ,,"Python, R, SQL, Spark"
Senior Business Analyst,MODUS X,9 вересня 2024,Київ,,R
System Analyst (Telecom),IT SmartFlex,9 вересня 2024,"Київ, віддалено",,"R, SQL"
Business Analyst,MEGOGO,9 вересня 2024,"Київ, віддалено",,R
Middle Data Analyst (QA Engineer),SpaceWhale,9 вересня 2024,"Київ, віддалено",,"Python, R, SQL, Scala, Excel, AWS, Azure"
Senior Data analyst,Rich Media Systems,9 вересня 2024,віддалено,,"Python, R, SQL, Tableau, Excel"
Data Analyst,Raiffeisen Bank,9 вересня 2024,Київ,,"Python, R, SQL, Java, Power BI, Spark, Kafka, AWS"
Sales Analyst,Vodafone Україна,9 вересня 2024,Київ,,"R, SQL, Tableau, Excel"
System Analyst,Vodafone Україна,9 вересня 2024,Київ,,"R, Java"
"Бізнес-аналітик, консультант Microsoft Dynamics 365 (CRM)",Progresia,7 вересня 2024,віддалено,,R
Викладач курсу Business Analyst,Lemon.School,7 вересня 2024,віддалено,,R
Junior Operations Specialist (Analytics),Solidgate,7 вересня 2024 Перша робота,Київ,,"R, SQL, Tableau, Excel"
Middle Data/Product Analyst at Petcube,"Petcube, Inc.",6 вересня 2024,віддалено,,"Python, R, SQL, Excel"
Junior Data Analyst,maxidtp,6 вересня 2024,віддалено,,"Python, R, SQL, Power BI, Azure"
Senior Game Product Analyst,Murka Games,6 вересня 2024 GameDev,"Лімасол (Кіпр), віддалено",,"R, SQL, Tableau"
System Analyst,SMART business,6 вересня 2024,"Київ, Львів, Варшава (Польща), віддалено",,"R, Power BI, Azure"
Business Analyst,Kyivstar.Tech,6 вересня 2024,"Київ, віддалено",,"R, SQL, Excel, PostgreSQL, MongoDB"
E-Commerce Business Analyst,WebbyLab,6 вересня 2024,"Київ, віддалено",,"R, Scala, Excel"
Системний Аналітик (System Аnalyst),CS Ltd,6 вересня 2024,віддалено,,"R, SQL"
Strategy & Operations Analyst (Impulse),Genesis,6 вересня 2024,"Київ, гібрид, Київ, офіс, Київ, віддалено",,"R, Tableau, Excel"
Marketing & Operations Analyst (Impulse),Genesis,6 вересня 2024,"Київ, гібрид, Київ, офіс, віддалено",,"R, Excel"
Data analyst/Data Scientist,"Медична лабораторія ""DILA""",6 вересня 2024,"Київ, віддалено",,"Python, R, SQL, Power BI, NoSQL"
Middle Business Analyst (FinTech),Globaldev Group,6 вересня 2024,віддалено,,R
Business Analyst/Product Owner (contract cooperation),Selecto,6 вересня 2024,"Львів, Рівне, за кордоном, віддалено",,R
Product Data Analyst,AMO,6 вересня 2024,"Київ, віддалено",,"Python, R, SQL, Tableau"
Business Analyst,Kitsoft,6 вересня 2024,"Київ, віддалено",,R
Business analyst,Інститут аналітики та адвокації (ІАА),6 вересня 2024,"Київ, віддалено",$1200–2000,R
Payment Product Manager (JustDone & Manifest),BOOSTERS (partner of Genesis),6 вересня 2024,"Київ, віддалено",,"R, Tableau, Power BI, Excel"
Workforce Analyst,SMART business,6 вересня 2024,"Київ, Львів, Варшава (Польща), віддалено",,"R, Tableau, Power BI, Excel, Azure"
Data analyst (SQL),UKRSIBTECH,5 вересня 2024,віддалено,,"R, SQL, Power BI"
SOC аналітик,Nova Digital,5 вересня 2024,Київ,,"R, SQL"
Trainee Data Analyst,ABP,5 вересня 2024,Одеса,$300–500,"Python, R, SQL, Power BI, Azure"
Senior Business Analyst/Product Owner (with technical background),Synergetica,5 вересня 2024,"Київ, Дніпро, за кордоном, віддалено",,R
MS Dynamics ERP Business Analyst,Nova Digital,5 вересня 2024,віддалено,,R
Middle Business Analyst,ПриватБанк,5 вересня 2024,"Дніпро, віддалено",,R
Business Analyst,"АБ ""УКРГАЗБАНК""",5 вересня 2024 бронювання,віддалено,,"SQL, NoSQL"
Data scientist,CFG,5 вересня 2024,віддалено,,"Python, Pandas, NumPy, Matplotlib, Scikit-learn, R, SQL, Excel"
Старший менеджер-аналітик кредитного процесу,UKRSIBTECH,5 вересня 2024,"Київ, віддалено",,"R, SQL"
Business Analyst,IGAMA.tech,5 вересня 2024,Київ,,R
Senior Business Data Analyst,WiX,4 вересня 2024,Київ,,"R, SQL, Tableau, Excel"
Business Data Analyst,WiX,4 вересня 2024,Київ,,"R, SQL, Tableau"
Business Analyst (IT project),Kyivstar.Tech,4 вересня 2024,Київ,,"R, SQL"
Senior Data Analyst/Product Manager,SciForce,4 вересня 2024,,,"Python, R, SQL, Tableau, Power BI, Excel, Hadoop, Spark, AWS, Azure"
Помічник бухгалтера,Pixoram,4 вересня 2024,Київ,,"Excel, Google Sheets"
Product Owner (BA),Symphony Solutions,4 вересня 2024,віддалено,,"R, Scala, Excel"
Business Analyst (WMS),Ajax Systems,4 вересня 2024,Київ,,R
Senior Data Analyst,FYST,4 вересня 2024,віддалено,,"Python, R, SQL, Tableau, Power BI, Excel"
Middle Business Analyst,Nova Digital,4 вересня 2024,"Київ, віддалено",,R
Product Analyst,Universe Group,3 вересня 2024,Київ (гібрид),,"Python, R, SQL, Tableau, AWS"
Data Analyst,Recruiting Agency Escadra.,3 вересня 2024 бронювання,віддалено,,"R, Excel"
Business Analyst,Pecode,3 вересня 2024,"Львів, віддалено",$1500–2500,R
Financial Analyst (Junior),Uklon,3 вересня 2024,Київ,,"R, Excel"
Бізнес-аналітик,Palmo,3 вересня 2024,"Івано-Франківськ, віддалено",,R
Бізнес-аналітик,UKRSIBTECH,3 вересня 2024,Київ,,"R, SQL"
Middle Business/System Analyst,Lobby X,3 вересня 2024,"Київ, віддалено",,R
Strong Junior Business Analyst,Globaldev Group,3 вересня 2024,"Київ, Одеса, Вінниця, Варшава (Польща), Краків (Польща), віддалено",,R
Data Analyst,MWDN,3 вересня 2024,віддалено,,"Python, Matplotlib, Seaborn, R, SQL, Tableau, Power BI, Excel, Hadoop, Spark"
Senior/Middle Бізнес-аналітик (напрямок Retail),ROZETKA,3 вересня 2024,Київ,,R
Business Analyst,Syndicode,3 вересня 2024,віддалено,,"R, Excel"
Business analyst,"Медична лабораторія ""DILA""",3 вересня 2024,віддалено,,"R, SQL"
DATA ANALYST,Сили Оборони України,3 вересня 2024 miltech бронювання,Київ,від $500,"R, SQL, Tableau, Power BI, PostgreSQL"
Banking BI/DW Analyst,Adastra Digital,3 вересня 2024,"Братислава (Словаччина), віддалено",від $2000,"R, SQL, Tableau"
Data Analyst,Lingopie,3 вересня 2024,віддалено,,"R, SQL, Tableau, Excel"
Web Analyst/Web аналітик,Recruiting Agency Escadra.,3 вересня 2024 бронювання,віддалено,,"R, SQL, Excel"
Middle/Senior Product Analyst,JatApp,3 вересня 2024,"Київ, за кордоном, віддалено",,"Python, R, SQL, Tableau, Power BI, AWS"
Middle/Senior Data Analyst,iSpeedtoLead,3 вересня 2024,віддалено,$3000–3500,"Python, R, Excel"
"IT Business Analyst (Salesforce CPQ, billing, eCommerce)",Materialise,3 вересня 2024,Київ,,"R, Excel"
IT Business Analyst (IT Off the Shelf Applications & Platforms),Materialise,3 вересня 2024,Київ,,"R, Excel, Azure"
Marketing Specialist (B2B) (ID 177),HELSI,3 вересня 2024,"Київ, віддалено",,
Data analyst,SpaceCrew Finance Company,3 вересня 2024,"Київ, віддалено",$1000–1500,"Python, R, SQL, Power BI, Google Sheets"
Product Data Analyst,"Zeely, Inc.",2 вересня 2024,віддалено,,"Pandas, NumPy, R, SQL, Tableau, Power BI, PostgreSQL"
Product Analyst for Setapp (Middle),MacPaw,2 вересня 2024,"Київ, за кордоном, віддалено",,"Python, R, SQL, Tableau"
Бізнес Аналітик SAP,ITExpert - IT Recruitment agency,2 вересня 2024 бронювання,,,R
Data analyst (Marketing),UKRSIBTECH,2 вересня 2024,Київ,,"Python, R, SQL, Power BI, Excel"
Marketing Analyst,Softsich,2 вересня 2024,віддалено,,"Python, R, SQL, Tableau, Power BI, Excel, Google Sheets, NoSQL"
Junior Data analyst,TechMagic,2 вересня 2024 Перша робота,"Київ, Львів, віддалено",,"Python, R, SQL, Excel"
Product Analyst,Quarks,2 вересня 2024,Київ,,"R, SQL, Tableau, Power BI"
Middle Marketing Data Analyst,Quarks,2 вересня 2024,"Київ, гібрид",,"Python, R, SQL, Tableau, Excel"
Analyst,Sense Bank,2 вересня 2024,Київ,,"R, SQL"
Business analyst,Sense Bank,2 вересня 2024,Київ,,"R, SQL"
Senior Data Analyst (Web team),BetterMe,2 вересня 2024,"Київ, віддалено",,"Python, R, SQL, Tableau, Excel"
Middle Business Analyst,Evergreen,2 вересня 2024,"Київ, за кордоном, віддалено",$1400–2200,R
Lead BI/Marketing Analyst,NewGMedia,2 вересня 2024,"Київ, Львів, віддалено",,"Python, R, SQL, Tableau, Power BI, Excel, PostgreSQL, Kafka"
Data Analyst,Kiss My Apps,2 вересня 2024,віддалено,,"Python, Pandas, NumPy, R, SQL, Tableau, Power BI, Excel"
Business Analyst,Growe,2 вересня 2024,за кордоном,,R
Senior QA/BA Engineer,Proxet,2 вересня 2024,"Вроцлав (Польща), віддалено",,"R, SQL, Java, Azure"
Business Analyst,Software Development Hub,2 вересня 2024,віддалено,,R
Data Analyst (UNDP),UN Volunteers,2 вересня 2024,$2076,$2076,"R, Excel"
Middle Business Analyst,Mind Studios,2 вересня 2024,"Дніпро, віддалено",,"R, SQL"
Product/Data Analyst,Solidgate,2 вересня 2024,Київ,,"Python, R, SQL, Java, Tableau, PostgreSQL, AWS"
System Analyst (ID 000146),OTP Bank Ukraine,2 вересня 2024 бронювання,"Київ, віддалено",,"R, SQL"
Senior Data Analyst with Data Vault experience,Academy SMART,2 вересня 2024,віддалено,,"R, Excel"
Data Analyst,SKELAR,2 вересня 2024,Київ,,"R, SQL, Tableau"
data analyst,ESCA,2 вересня 2024,Дніпро,$850–900,"R, SQL, Excel"
Senior Product Analyst,Megafair games,2 вересня 2024,віддалено,,"R, SQL, Power BI, Excel"
Data analytics (part-time),WizardsDev,2 вересня 2024,віддалено,,R
Аналітик з дослідження товарного ринку,OKKO Group,2 вересня 2024 бронювання,Львів,,"R, SQL, Power BI, Excel"
Analyst,Укртелеком,2 вересня 2024,віддалено,до $1000,R
Technical Project Manager,Interactive Online Technologies,1 вересня 2024,віддалено,від $2500,"R, SQL, Excel, NoSQL, Azure"
Провідний аналітик data science з дослідження клієнтських даних,ПриватБанк,30 серпня 2024,"Дніпро, віддалено",,"Python, R, SQL"
Бізнес-аналітик з автоматизації бухгалтерського обліку,KERNEL,30 серпня 2024 бронювання,Київ,,"R, Power BI, Excel"
Бізнес Аналітик процесів кредитного ризик-менеджменту,Raiffeisen Bank,30 серпня 2024,"Київ, віддалено",,"R, SQL, Power BI, AWS"
Digital analyst,MEGOGO,30 серпня 2024,Київ,,"R, Power BI, Excel"
Business Analyst,"ПАТ ""Банк Восток""",30 серпня 2024,"Київ, віддалено",,"R, SQL"
Business Analyst,Pecan Solutions,30 серпня 2024,віддалено,,R
Business Analyst (Kyivstar TV),1+1 media,30 серпня 2024,Київ,,"R, SQL"
Lead Data Analyst,Bini Games,30 серпня 2024 GameDev,віддалено,,"Python, Pandas, NumPy, Matplotlib, R, SQL, Tableau, Power BI, AWS, GCP"
Бізнес-аналітик даних,MHP,30 серпня 2024,Київ,$1800–2100,R
Marketing Analyst,GG.BET,30 серпня 2024,Київ,,"R, Excel"
Business Analyst,FRDM Group,30 серпня 2024 miltech бронювання,Київ,до $1100,R
Business analyst / Requirements Manager,Corefy,30 серпня 2024,"Київ, за кордоном, віддалено",,"R, AWS"
Senior Data Analyst,Digis,29 серпня 2024,віддалено,,"R, Power BI"
Project Assistant/ Administrator (ID:1237),Infopulse,29 серпня 2024,віддалено,,"R, Tableau, Excel, Azure"
Системний аналітик,"Банк ""КЛІРИНГОВИЙ ДІМ""",29 серпня 2024,Київ,$1500–2300,R
Business Analyst,Opinov8,29 серпня 2024,"Київ, за кордоном, віддалено",,"R, Spark"
BI Analyst,Студія HR рішень,29 серпня 2024,віддалено,,"Python, R, SQL, Excel"
Middle Business Analyst,VeliTech,29 серпня 2024,"Київ, віддалено",,"R, SQL"
Middle Business Analyst,GR8 Tech,29 серпня 2024,"Bulgaria, Kazakhstan, Moldova, Poland, Portugal, Romania, Лімасол (Кіпр), Прага (Чехія), віддалено",,"R, SQL, Scala"
Marketing Data Analyst,Tonti Laguna Group,29 серпня 2024,віддалено,,"R, SQL, Excel, Google Sheets"
System Business Analyst (with PM skills),Telesens IT,29 серпня 2024,"Харків, віддалено",,R
Product Web Analyst,iSpeedtoLead,29 серпня 2024,віддалено,,"R, Tableau, Excel"
Middle Business Analyst,Nova Digital,28 серпня 2024,віддалено,,"Python, R, SQL, Tableau, Power BI, PostgreSQL"
Security Analyst,SoftConstruct Ukraine,28 серпня 2024,віддалено,,"Python, R, AWS, GCP"
DATA System Analyst,UKRSIBTECH,28 серпня 2024,"Київ, віддалено",,"R, SQL"
Middle Product Analyst,appflame,28 серпня 2024,Київ,,"Python, R, SQL, Tableau"
Business Analyst (Middle/Senior),Attract Group,28 серпня 2024,віддалено,,R
